ID;Question;qTypesCount;qTransCount;qOutputType;aggre;allocation;amount;boolfield;conamount;covamount;distanceBand;distfield;eveconamount;eveconobjconpro;event;eventquality;field;grid;location;network;networkquality;objconamount;objconobjconpro;object;objectquality;placename;proportion
1;Which houses are for sale in Utrecht;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
2;Which houses have construction year between 1990 and 2000 in Utrecht;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
3;What houses are for sale and within 0.5km from the main roads in Utrecht;9;5;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0
4;What houses are for sale and within 1km from the nearest school in Utrecht;9;5;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0
5;What houses are for sale and within 1km from the nearest supermarket in Utrecht;9;5;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0
6;What houses are for sale in urban areas in Utrecht;7;3;object;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;0;0
7;What houses are for sale and in neighborhoods with crime rate lower than 50 per 1000 people in Utrecht;9;4;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;0;0
8;What houses are for sale and within 1km from the parks in Utrecht;9;5;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0
9;Where are the five star hotels in the Happy Valley ski resort;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
10;Which cafes are in forested areas in Happy Valley ski resort;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
11;Where are the ski pistes in Happy Valley ski resort;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
12;Where is the most popular ski piste in Happy Valley ski resort;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
13;Which ski piste is longest in the Happy Valley;3;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
14;Which hotels are within 0.3km of the longest ski piste in Happy Valley ski resort;6;3;object;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
15;Which neighborhood has the highest crime rate in Amsterdam;4;1;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
16;Where are the individual crimes in Amsterdam;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
17;Which neighborhood has the highest robbery rate in Amsterdam;4;1;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
18;Which neighborhood has the highest arson rate in Amsterdam;4;1;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
19;Which neighborhood has the highest burglary rate in Amsterdam;4;1;object;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0
20;Which buildings are within 1 minute of driving time from a fire station in Fort Worth;6;3;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
21;Which schools are not within 3 minutes of driving time from a fire station in Fort Worth;6;3;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
22;What is the nearest fire station to each fire call in Fort Worth;3;1;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
23;Where are the hurricanes in Oleander in 1977;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
24;What was the trajectory of a hurricane in Oleander in 1977;3;1;event;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
25;Where was the most intense hurricane in Oleander in 1977;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
26;Where was the fastest hurricane in Oleander in 1977;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
27;How many buildings are affected by a hurricane in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
28;Which buildings are affected by a hurricane in Oleander;4;1;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
29;How many people are affected by a hurricane in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
30;Where are the rocky areas in Spain;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
31;What areas do have slope larger than 10 percent in Spain;4;2;location;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0
32;What areas do have altitude between 700 and 2000 meters in Spain;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
33;What areas do have temperature larger than 0 degrees in Spain;4;2;location;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0
34;What areas do have precipitation lower than 40 millimeters in Spain;4;2;location;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0
