ID;OrgId;Event;Question;RQuestion;Type;Fixed
1;GikiC-2009-01;GikiCLEF2009;List the Italian places where Ernest Hemingway visited during his life;Which places were visited by ernest hemingway in Italy;object;1
2;GikiC-2009-02;GikiCLEF2009;"Which countries have the white, green and red colors in their national flag";Which countries have the white green and red colors in national flag;object;2
3;GikiC-2009-03;GikiCLEF2009;In which countries outside Bulgaria are there published opinions on Petar Dunov's (Beinsa Duno's) ideas;Which countries outside Bulgaria have published opinions on Petar Dunov's (Beinsa Duno's) ideas;object;0
4;GikiC-2009-04;GikiCLEF2009;Name Romanian poets who published volumes with ballads until 1941;Which romanian poets have published ballads before 1942;object;2
5;GikiC-2009-05;GikiCLEF2009;Which written fictional works of non-Romanian authors have as subject the Carpathians mountains;Which written fictional works of non-Romanian authors have as subject the Carpathians mountains;object;0
6;GikiC-2009-06;GikiCLEF2009;Which Dutch violinists held the post of concertmaster at the Royal Concertgebouw Orchestra in the 20th century;Which violinists were royal concertgebouw orchestra concertmasters in the 20th century in the Netherlands;object;1
7;GikiC-2009-07;GikiCLEF2009;What capitals of Dutch provinces received their town privileges before the fourteenth century;What provincial capitals had town privileges before the 14th century in the Netherlands;object;1
8;GikiC-2009-08;GikiCLEF2009;Which authors were born in and write about the Bohemian Forest;Which authors were born in and write about the Bohemian Forest;object;0
9;GikiC-2009-09;GikiCLEF2009;Name places where Goethe fell in love;Where did goethe fall in love;object;1
10;GikiC-2009-10;GikiCLEF2009;Which Flemish towns hosted a restaurant with two or three Michelin stars in 2008;Which towns hosted a restaurant with two or three Michelin stars in 2009 in Flanders;object;1
11;GikiC-2009-11;GikiCLEF2009;What Belgians won the Ronde van Vlaanderen exactly twice;Who are the 2 time winners of the ronde van vlaanderen in belgium;object;1
12;GikiC-2009-12;GikiCLEF2009;Present monarchies in Europe headed by a woman;Which present monarchies have female heads in Europe;object;2
13;GikiC-2009-13;GikiCLEF2009;Romantic and realist European novelists of the XIXth century who died of tuberculosis;Who are the romantic and realist European novelists of the XIXth century who died of tuberculosis;object;0
14;GikiC-2009-14;GikiCLEF2009;Name rare diseases with dedicated research centers in Europe;Which rare diseases have dedicated research centers in Europe;object;2
15;GikiC-2009-15;GikiCLEF2009;List the basic elements of the cassata;What are the basic elements of the cassata;object;1
16;GikiC-2009-16;GikiCLEF2009;In which European countries is the bidet commonly used;Which countries use bidet in Europe;object;1
