ID;OrgId;Question;RQuestion;Type;Fixed
1;1;How many hospitals are there in Oxford;How many hospitals are in Oxford;amount;2
2;2;How many pharmacies are in 200 meter radius of High Street in Oxford;How many pharmacies are within 200 meters from high street in Oxford;amount;1
3;3;Which is the closest airport to London;Which airport is nearest to london;object;2
4;4;How many underground lines does London have;How many underground lines does London have;amount;2
5;5;Which restaurants are near Edinburgh Castle;Which restaurants are nearest to edinburgh castle;object;2
6;6;Which hotels are near Big Ben;Which hotels are nearest to big ben;object;2
7;7;How many counties does England have;How many counties does England have;amount;2
8;8;Does England have more counties than Ireland;Does England have more counties than Ireland;boolean;0
9;9;Which airports are in Ireland;Which airports are in ireland;object;2
10;10;Which restaurants are close to London Bridge;Which restaurants are closest to london bridge;object;2
11;11;Is the Castle of Edinburgh less than 2 km away from Calton Hill;Is the Castle of Edinburgh less than 2 km away from Calton Hill;boolean;0
12;12;Which hospitals are close to Stirling Castle;Which hospitals are closest to stirling castle;object;2
13;13;Is there any hospital in a range of 1 km from Jubilee Gardens in London;Which hospitals are within 1 km from jubilee gardens in London;object;2
14;14;Where is the closest market to Elephant and Castle underground station;Where is the public market closest to elephant underground station and castle underground station;location;1
15;15;Which is the highest point in Cheshire;Where is the highest elevation in Cheshire;object;1
16;16;Which counties border county Lincolnshire;Which counties intersect with lincolnshire county;object;2
17;17;Which is the largest lake in England;Which lake has the biggest area size in England;object;2
18;18;Which is the highest building in London;Which building has the biggest height in London;object;2
19;19;Where is Loch Goil located;Where is loch goil;location;1
20;20;Which theaters are near Trafalgar Square;Which theaters are nearest to trafalgar square;object;2
21;21;Which airports are in London;Which airports are in london;object;2
22;22;Which bridges cross River Thames;Which bridges intersect with thames river;object;2
23;23;Through which cities does River Thames flow;Which cities overlap with thames river;object;2
24;24;Which universities are in England;Which universities are in england;object;2
25;25;Which is the highest mountain in Ireland;Which mountain has the biggest height in Ireland;object;2
26;26;Which rivers are in Great Britain;Which rivers are in great britain;object;2
27;27;Which mountains are in Scotland;Which mountains are in scotland;object;2
28;28;What is the name of Britain's longest river;What is the longest river in Britain;object;2
29;29;Which airports are in the city of Salford;Which airports are in salford;object;2
30;30;Where is Elizabeth Tower located;Where is elizabeth tower located;location;1
31;31;What is the number of universities in London;What is the number of universities in London;amount;2
32;32;Where is a car park near Big Ben;Where is a car park nearest to big ben;location;2
33;33;Which pubs in Manchester are near the Old Trafford stadium;Which pubs are nearest to the old trafford stadium in Manchester;object;2
34;34;Which rivers are in Wales;Which rivers are in wales;object;2
