ID;Syn;AnswerFungl;AnswerProlog;Question;RQuestion;Types;Fixed
0;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NNP Virginia))))));answer(city(loc_2(stateid('virginia'))));"answer(A,(city(A),loc(A,B),const(B,stateid(virginia))))";Give me the cities in Virginia;What are the cities in virginia;object;2
1;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ high) (NNS points)) (PP (IN of) (NP (NP (NNS states)) (VP (VBG surrounding) (NP (NNP Mississippi))))))));answer(high_point_1(state(next_to_2(stateid('mississippi')))));"answer(A,(high_point(B,A),state(B),next_to(B,C),const(C,stateid(mississippi))))";What are the high points of states surrounding Mississippi;What are the high points of states surrounding Mississippi;object;0
2;(S (VP (VB Name) (NP (NP (DT the) (NNS rivers)) (PP (IN in) (NP (NNP Arkansas))))));answer(river(loc_2(stateid('arkansas'))));"answer(A,(river(A),loc(A,B),const(B,stateid(arkansas))))";Name the rivers in Arkansas;What are the rivers in arkansas;object;2
3;(S (VP (VB Name) (NP (NP (PDT all) (DT the) (NNS rivers)) (PP (IN in) (NP (NNP Colorado))))));answer(river(loc_2(stateid('colorado'))));"answer(A,(river(A),loc(A,B),const(B,stateid(colorado))))";Name all the rivers in Colorado;What are the rivers in colorado;object;2
4;(SQ (MD Can) (NP (PRP you)) (VP (VB tell) (NP (PRP me)) (NP (NP (DT the) (NN capital)) (PP (IN of) (NP (NNP Texas))))));answer(capital(loc_2(stateid('texas'))));"answer(A,(capital(A),loc(A,B),const(B,stateid(texas))))";Can you tell me the capital of Texas;What is the capital of texas;object;1
5;(SQ (MD Could) (NP (PRP you)) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (VBZ is) (NP (NP (DT the) (JJS highest) (NN point)) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NNP Oregon))))))))));answer(highest(place(loc_2(state(stateid('oregon'))))));"answer(A,highest(A,(place(A),loc(A,B),state(B),const(B,stateid(oregon)))))";Could you tell me what is the highest point in the state of Oregon;Which area has the highest elevation in Oregon;amount;1
6;(S (VP (VB Count) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT which)) (S (VP (VBP have) (NP (NP (NNS elevations)) (ADJP (ADJP (JJR lower)) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (NNP Alabama)) (VP (VBZ has)))))))))))));answer(count(state(low_point_2(lower_2(low_point_1(stateid('alabama')))))));"answer(A,count(B,(state(B),low_point(B,C),lower(C,D),low_point(E,D),const(E,stateid(alabama))),A))";Count the states which have elevations lower than what Alabama has;What is the number of states which have elevations lower than what Alabama has;location;0
7;(S (VP (VB Give) (NP (PRP me)) (NP (NP (PDT all) (DT the) (NNS states)) (PP (IN of) (NP (NNP USA))))));answer(state(loc_2(countryid('usa'))));"answer(A,(state(A),loc(A,B),const(B,countryid(usa))))";Give me all the states of USA;What are the states in usa;object;2
8;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NNP Texas))))));answer(city(loc_2(stateid('texas'))));"answer(A,(city(A),loc(A,B),const(B,stateid(texas))))";Give me the cities in Texas;What are the cities in texas;object;2
9;(S (VP (VB Give) (NP (PRP me)) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NNP USA))))));answer(city(loc_2(countryid('usa'))));"answer(A,(city(A),loc(A,B),const(B,countryid(usa))))";Give me the cities in USA;What are the cities in usa;object;2
